0,1,2,3,4,5,6,7,8
9615545.074859262,7923281.953725378,6570344.887698632,5727839.330158957,3370956.6681577093,3370956.6681577666,2754385.7075388483,2277119.9041709267,2277119.904171177
0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
